,Frame,Mean,Game,Alg,Model
164,100800000,7440.425531914893,Asterix,Amp Single,0
165,102400000,10699.35064935065,Asterix,Amp Single,0
166,104000000,7432.98969072165,Asterix,Amp Single,0
167,105600000,8742.528735632184,Asterix,Amp Single,0
168,107200000,6584.803921568628,Asterix,Amp Single,0
169,108800000,10825.0,Asterix,Amp Single,0
170,110400000,10826.219512195123,Asterix,Amp Single,0
171,112000000,6894.949494949495,Asterix,Amp Single,0
172,113600000,9090.361445783132,Asterix,Amp Single,0
173,115200000,13111.643835616438,Asterix,Amp Single,0
174,116800000,11957.692307692309,Asterix,Amp Single,0
175,118400000,7502.35294117647,Asterix,Amp Single,0
176,120000000,8820.430107526881,Asterix,Amp Single,0
177,121600000,6117.64705882353,Asterix,Amp Single,0
178,123200000,12483.333333333334,Asterix,Amp Single,0
179,124800000,11252.531645569621,Asterix,Amp Single,0
180,126400000,16130.0,Asterix,Amp Single,0
181,128000000,9422.289156626506,Asterix,Amp Single,0
182,129600000,16592.647058823528,Asterix,Amp Single,0
183,131200000,14827.464788732394,Asterix,Amp Single,0
184,132800000,17263.846153846152,Asterix,Amp Single,0
185,134400000,15249.285714285714,Asterix,Amp Single,0
186,136000000,18635.0,Asterix,Amp Single,0
187,137600000,9621.951219512195,Asterix,Amp Single,0
188,139200000,13250.641025641025,Asterix,Amp Single,0
189,140800000,17093.382352941175,Asterix,Amp Single,0
190,142400000,10741.02564102564,Asterix,Amp Single,0
191,144000000,13806.756756756757,Asterix,Amp Single,0
192,145600000,26612.244897959183,Asterix,Amp Single,0
193,147200000,16765.873015873014,Asterix,Amp Single,0
194,148800000,24303.636363636364,Asterix,Amp Single,0
195,150400000,13190.410958904109,Asterix,Amp Single,0
196,152000000,22880.35714285714,Asterix,Amp Single,0
197,153600000,20160.31746031746,Asterix,Amp Single,0
198,155200000,21085.344827586207,Asterix,Amp Single,0
199,156800000,19994.444444444445,Asterix,Amp Single,0
