,Frame,Mean,Game,Alg,Model,Average Score,Best Score
95,38400000,34533.333333333336,Asterix,Amp,"[0, 1, 2, 3, 4]",35479.053200833485,38938.09523809524
96,38800000,35647.82608695652,Asterix,Amp,"[0, 1, 2, 3, 4]",35332.01762771096,38938.09523809524
97,39200000,37163.63636363636,Asterix,Amp,"[0, 1, 2, 3, 4]",35510.55517711807,38938.09523809524
98,39600000,36563.04347826087,Asterix,Amp,"[0, 1, 2, 3, 4]",35761.11484409309,38938.09523809524
99,40000000,36117.391304347824,Asterix,Amp,"[0, 1, 2, 3, 4]",35879.29841897232,38938.09523809524
100,400000,273.5807860262009,Asterix,Amp Single,0,,26612.244897959183
101,800000,300.42826552462526,Asterix,Amp Single,0,,26612.244897959183
102,1200000,244.06130268199234,Asterix,Amp Single,0,,26612.244897959183
103,1600000,294.39746300211414,Asterix,Amp Single,0,,26612.244897959183
104,2000000,303.7122969837587,Asterix,Amp Single,0,,26612.244897959183
105,2400000,647.2696245733788,Asterix,Amp Single,0,,26612.244897959183
106,2800000,894.1666666666666,Asterix,Amp Single,0,,26612.244897959183
107,3200000,956.6844919786096,Asterix,Amp Single,0,,26612.244897959183
108,3600000,789.7489539748954,Asterix,Amp Single,0,,26612.244897959183
109,4000000,1125.9036144578313,Asterix,Amp Single,0,582.9953465870072,26612.244897959183
110,4400000,1585.9375,Asterix,Amp Single,0,714.2310179843871,26612.244897959183
111,4800000,1566.4473684210527,Asterix,Amp Single,0,840.8329282740299,26612.244897959183
112,5200000,2257.1969696969695,Asterix,Amp Single,0,1042.1464949755277,26612.244897959183
113,5600000,2432.2033898305085,Asterix,Amp Single,0,1255.927087658367,26612.244897959183
114,6000000,2385.4477611940297,Asterix,Amp Single,0,1464.1006340793942,26612.244897959183
115,6400000,2486.991869918699,Asterix,Amp Single,0,1648.0728586139262,26612.244897959183
116,6800000,2537.39837398374,Asterix,Amp Single,0,1812.3960293456335,26612.244897959183
117,7200000,2467.8030303030305,Asterix,Amp Single,0,1963.5078831780756,26612.244897959183
118,7600000,2390.2877697841727,Asterix,Amp Single,0,2123.5617647590034,26612.244897959183
119,8000000,2810.569105691057,Asterix,Amp Single,0,2292.028313882326,26612.244897959183
120,8400000,2777.1739130434785,Asterix,Amp Single,0,2411.151955186674,26612.244897959183
121,8800000,2879.4117647058824,Asterix,Amp Single,0,2542.4483948151565,26612.244897959183
122,9200000,2827.4809160305344,Asterix,Amp Single,0,2599.476789448513,26612.244897959183
123,9600000,2681.6831683168316,Asterix,Amp Single,0,2624.4247672971455,26612.244897959183
